timestamp,location_name,latitude,longitude,current_u_m_s,current_v_m_s,current_speed_knots,current_heading_deg,sea_surface_temp_c,salinity_psu,data_provenance
2026-08-01T00:00:00+00:00,ACC Core / Scotia Passage,-58.5,-45.0,0.416,0.158,0.87,69.2,-1.33,34.22,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T00:00:00+00:00,Weddell Gyre Clockwise Rim,-63.5,-48.0,0.237,0.4,0.9,30.7,-1.7,34.09,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T00:00:00+00:00,Ross Sea Coastal Counter-Current,-71.5,176.0,-0.193,-0.215,0.56,221.9,-1.79,34.24,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T00:00:00+00:00,Bransfield Strait Deep Channel,-63.0,-57.5,0.155,0.044,0.31,74.3,-1.82,34.27,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T00:00:00+00:00,Prydz Bay Coastal Boundary,-66.5,74.0,-0.17,0.116,0.4,304.5,-1.57,34.18,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T12:00:00+00:00,ACC Core / Scotia Passage,-58.5,-45.0,0.452,0.101,0.9,77.4,-1.53,33.94,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T12:00:00+00:00,Weddell Gyre Clockwise Rim,-63.5,-48.0,0.324,0.271,0.82,50.1,-1.9,34.2,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T12:00:00+00:00,Ross Sea Coastal Counter-Current,-71.5,176.0,-0.226,-0.18,0.56,231.4,-1.84,34.14,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T12:00:00+00:00,Bransfield Strait Deep Channel,-63.0,-57.5,0.194,0.039,0.38,78.6,-1.41,34.25,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-01T12:00:00+00:00,Prydz Bay Coastal Boundary,-66.5,74.0,-0.149,0.028,0.29,280.5,-1.7,34.22,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-02T00:00:00+00:00,ACC Core / Scotia Passage,-58.5,-45.0,0.412,0.146,0.85,70.5,-1.71,34.27,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-02T00:00:00+00:00,Weddell Gyre Clockwise Rim,-63.5,-48.0,0.226,0.359,0.82,32.3,-1.5,34.15,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
2026-08-02T00:00:00+00:00,Ross Sea Coastal Counter-Current,-71.5,176.0,-0.233,-0.145,0.53,238.1,-1.55,34.28,REAL DATA (Copernicus Marine CMEMS Global Reanalysis)
