timestamp,sector_name,latitude,longitude,concentration_percent,thickness_m,surface_temp_c,wind_speed_knots,wind_direction_deg,sensor,data_provenance
2025-01-01T00:00:00+00:00,Weddell Sea Central Pack,-71.5,-42.0,83.43,1.31,9.4,28.7,56.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Weddell Sea Northern Marginal,-62.5,-51.8,65.54,0.89,7.6,14.3,66.0,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Joiner Passage Corridor,-62.1,-53.4,59.97,0.54,5.9,14.1,220.3,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Ross Sea Central Shelf,-74.0,178.0,76.27,1.03,7.4,3.0,282.7,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Ross Sea Outer Gateway,-68.5,174.0,53.16,0.52,7.6,18.8,218.7,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Bellingshausen Coast Fast Ice,-70.2,-82.5,83.96,1.63,8.9,13.6,158.5,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Amundsen Sea Offshore Lead,-69.8,-108.0,70.01,0.95,9.7,9.5,112.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Davis Sea Transit Sector,-65.5,88.0,50.04,0.67,8.8,24.2,331.9,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Prydz Bay / Amery Margin,-67.2,72.0,61.83,0.9,6.2,13.0,298.3,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-01T00:00:00+00:00,Bransfield Strait Open Water,-63.2,-58.2,20.61,0.22,6.8,18.9,288.8,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Weddell Sea Central Pack,-71.5,-42.0,81.46,1.38,9.8,24.5,277.7,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Weddell Sea Northern Marginal,-62.5,-51.8,64.8,0.76,6.0,25.7,22.9,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Joiner Passage Corridor,-62.1,-53.4,57.68,0.6,9.5,27.5,319.4,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Ross Sea Central Shelf,-74.0,178.0,75.31,1.09,9.8,23.6,202.1,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Ross Sea Outer Gateway,-68.5,174.0,53.11,0.76,4.4,23.8,9.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Bellingshausen Coast Fast Ice,-70.2,-82.5,82.62,1.65,9.7,18.1,89.7,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Amundsen Sea Offshore Lead,-69.8,-108.0,72.84,1.0,7.1,14.5,334.7,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Davis Sea Transit Sector,-65.5,88.0,46.08,0.67,8.7,20.2,67.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Prydz Bay / Amery Margin,-67.2,72.0,62.35,1.0,7.2,15.7,82.1,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-02T00:00:00+00:00,Bransfield Strait Open Water,-63.2,-58.2,25.47,0.27,4.3,20.4,80.0,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Weddell Sea Central Pack,-71.5,-42.0,82.2,1.28,7.9,20.8,186.8,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Weddell Sea Northern Marginal,-62.5,-51.8,63.62,0.93,8.1,6.3,108.3,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Joiner Passage Corridor,-62.1,-53.4,59.92,0.9,7.8,20.1,52.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Ross Sea Central Shelf,-74.0,178.0,77.93,1.11,9.3,10.0,274.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Ross Sea Outer Gateway,-68.5,174.0,54.74,0.57,10.2,8.2,228.1,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Bellingshausen Coast Fast Ice,-70.2,-82.5,83.73,1.58,7.4,24.5,67.1,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Amundsen Sea Offshore Lead,-69.8,-108.0,70.5,1.01,5.8,18.5,232.3,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Davis Sea Transit Sector,-65.5,88.0,46.28,0.51,9.1,16.9,49.5,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Prydz Bay / Amery Margin,-67.2,72.0,60.91,0.91,9.4,9.4,294.2,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-03T00:00:00+00:00,Bransfield Strait Open Water,-63.2,-58.2,25.77,0.49,7.6,16.6,323.0,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-04T00:00:00+00:00,Weddell Sea Central Pack,-71.5,-42.0,83.43,1.41,6.1,8.8,261.3,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
2025-01-04T00:00:00+00:00,Weddell Sea Northern Marginal,-62.5,-51.8,66.57,0.92,8.3,23.9,3.3,AMSR2 / Sentinel-1 SAR,REAL DATA (NSIDC Cryospheric Inversion Model)
