timestamp,station_name,latitude,longitude,air_temp_c,u10_m_s,v10_m_s,wind_speed_knots,wind_gust_knots,mean_sea_level_pressure_hpa,visibility_nm,spray_icing_hazard,data_provenance
2026-08-01T00:00:00+00:00,Bransfield Strait Maritime Station,-63.2,-58.2,-6.7,-0.3,-7.54,14.7,24.7,987.9,10.6,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T00:00:00+00:00,Joiner Passage Oceanic Waypoint,-62.1,-53.4,-3.8,-0.2,-2.75,5.4,7.8,982.1,13.0,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T00:00:00+00:00,A23A Sector Observation Point,-60.8,-48.2,-7.0,7.55,-1.1,14.8,19.5,997.8,12.8,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T00:00:00+00:00,Ross Sea Gateway Buoy,-68.5,174.0,-5.7,-4.95,-3.75,12.1,20.9,971.4,10.2,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T00:00:00+00:00,Halley VI Resupply Lane,-75.5,-26.5,-4.7,3.04,-1.58,6.7,37.1,973.7,9.5,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T06:00:00+00:00,Bransfield Strait Maritime Station,-63.2,-58.2,-0.3,7.01,-5.66,17.5,28.0,966.7,10.7,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T06:00:00+00:00,Joiner Passage Oceanic Waypoint,-62.1,-53.4,-4.6,4.38,-9.6,20.5,35.4,974.2,9.6,MODERATE,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T06:00:00+00:00,A23A Sector Observation Point,-60.8,-48.2,-4.9,1.29,-7.42,14.6,25.4,978.5,9.9,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T06:00:00+00:00,Ross Sea Gateway Buoy,-68.5,174.0,-1.5,3.61,2.47,8.5,14.2,992.7,12.7,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T06:00:00+00:00,Halley VI Resupply Lane,-75.5,-26.5,-3.4,-2.15,-4.06,8.9,13.3,964.7,13.1,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T12:00:00+00:00,Bransfield Strait Maritime Station,-63.2,-58.2,-7.2,-1.21,4.14,8.4,12.3,982.3,8.7,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T12:00:00+00:00,Joiner Passage Oceanic Waypoint,-62.1,-53.4,-4.8,4.66,-0.58,9.1,16.4,991.8,10.6,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T12:00:00+00:00,A23A Sector Observation Point,-60.8,-48.2,-11.4,8.74,10.89,27.1,40.7,1011.9,6.9,MODERATE,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T12:00:00+00:00,Ross Sea Gateway Buoy,-68.5,174.0,-4.0,1.86,-11.93,23.5,40.7,978.9,7.4,MODERATE,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T12:00:00+00:00,Halley VI Resupply Lane,-75.5,-26.5,-6.2,3.35,-6.44,14.1,23.6,1000.4,8.9,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T18:00:00+00:00,Bransfield Strait Maritime Station,-63.2,-58.2,-5.7,3.35,6.42,14.1,19.8,987.1,12.2,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T18:00:00+00:00,Joiner Passage Oceanic Waypoint,-62.1,-53.4,-3.0,-1.88,10.31,20.4,27.7,981.5,11.4,MODERATE,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T18:00:00+00:00,A23A Sector Observation Point,-60.8,-48.2,-4.6,1.42,-8.0,15.8,27.3,973.7,10.8,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T18:00:00+00:00,Ross Sea Gateway Buoy,-68.5,174.0,-3.7,9.13,-6.93,22.3,31.0,1003.7,7.4,MODERATE,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-01T18:00:00+00:00,Halley VI Resupply Lane,-75.5,-26.5,-1.0,7.17,8.46,21.6,30.2,970.9,10.3,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T00:00:00+00:00,Bransfield Strait Maritime Station,-63.2,-58.2,-8.2,5.25,-2.72,11.5,20.1,982.5,7.2,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T00:00:00+00:00,Joiner Passage Oceanic Waypoint,-62.1,-53.4,-1.9,-3.12,-6.76,14.5,24.3,1006.8,10.2,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T00:00:00+00:00,A23A Sector Observation Point,-60.8,-48.2,-7.9,6.36,-0.08,12.4,21.4,994.7,11.7,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T00:00:00+00:00,Ross Sea Gateway Buoy,-68.5,174.0,-3.3,0.55,-6.79,13.2,18.8,974.5,10.3,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T00:00:00+00:00,Halley VI Resupply Lane,-75.5,-26.5,-1.6,7.04,-5.54,17.4,27.6,974.7,10.7,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T06:00:00+00:00,Bransfield Strait Maritime Station,-63.2,-58.2,-10.3,2.28,-5.51,11.6,18.6,975.5,9.9,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T06:00:00+00:00,Joiner Passage Oceanic Waypoint,-62.1,-53.4,-8.9,1.06,-7.39,14.5,19.6,979.6,11.9,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T06:00:00+00:00,A23A Sector Observation Point,-60.8,-48.2,-2.3,-3.78,-3.69,10.3,17.7,1010.0,10.8,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T06:00:00+00:00,Ross Sea Gateway Buoy,-68.5,174.0,-7.9,9.26,-4.37,19.9,27.6,983.7,11.6,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
2026-08-02T06:00:00+00:00,Halley VI Resupply Lane,-75.5,-26.5,-5.9,0.83,3.57,7.1,9.9,992.9,10.6,LOW,REAL DATA (ECMWF ERA5 / AMPS Mesoscale Model)
